image_path,label_path
data/images/1ba2f7fe94c61554a0f377094152b362.jpg,data/labels/1ba2f7fe94c61554a0f377094152b362.txt
data/images/20260203_175045.jpg,data/labels/20260203_175045.txt
data/images/20260203_175118.jpg,data/labels/20260203_175118.txt
data/images/20260203_175200.jpg,data/labels/20260203_175200.txt
data/images/20260203_175201.jpg,data/labels/20260203_175201.txt
data/images/3013.jpg,data/labels/3013.txt
data/images/49becd1c31a778fd22715f46a1515a6d.jpg,data/labels/49becd1c31a778fd22715f46a1515a6d.txt
data/images/5-loi-ich-suc-khoe-cua-trai-chanh-xanh.jpg,data/labels/5-loi-ich-suc-khoe-cua-trai-chanh-xanh.txt
data/images/Fresh-Orange.webp,data/labels/Fresh-Orange.txt
data/images/GUEST_3e3023d6-31c9-4a50-8d1e-a5a5719448ae.avif,data/labels/GUEST_3e3023d6-31c9-4a50-8d1e-a5a5719448ae.txt
data/images/IMG101241205801.webp,data/labels/IMG101241205801.txt
data/images/IMG20260203165157.jpg,data/labels/IMG20260203165157.txt
data/images/IMG20260203165200.jpg,data/labels/IMG20260203165200.txt
data/images/IMG20260203165205.jpg,data/labels/IMG20260203165205.txt
data/images/IMG20260203165209.jpg,data/labels/IMG20260203165209.txt
data/images/IMG20260203165215.jpg,data/labels/IMG20260203165215.txt
data/images/IMG20260203165221.jpg,data/labels/IMG20260203165221.txt
data/images/IMG20260203165225.jpg,data/labels/IMG20260203165225.txt
data/images/IMG20260203165232.jpg,data/labels/IMG20260203165232.txt
data/images/IMG20260203165238.jpg,data/labels/IMG20260203165238.txt
data/images/IMG20260203165330.jpg,data/labels/IMG20260203165330.txt
data/images/IMG20260203195542.jpg,data/labels/IMG20260203195542.txt
data/images/IMG20260203195547.jpg,data/labels/IMG20260203195547.txt
data/images/IMG20260203195636.jpg,data/labels/IMG20260203195636.txt
data/images/IMG20260203195652.jpg,data/labels/IMG20260203195652.txt
data/images/IMG20260203195659.jpg,data/labels/IMG20260203195659.txt
data/images/IMG20260203195704.jpg,data/labels/IMG20260203195704.txt
data/images/IMG20260203195707.jpg,data/labels/IMG20260203195707.txt
data/images/IMG20260204064103.jpg,data/labels/IMG20260204064103.txt
data/images/IMG20260204064122.jpg,data/labels/IMG20260204064122.txt
data/images/IMG20260204064127.jpg,data/labels/IMG20260204064127.txt
data/images/IMG20260204064133.jpg,data/labels/IMG20260204064133.txt
data/images/IMG20260204064142.jpg,data/labels/IMG20260204064142.txt
data/images/IMG20260204064150.jpg,data/labels/IMG20260204064150.txt
data/images/IMG20260204064154.jpg,data/labels/IMG20260204064154.txt
data/images/IMG20260204064158.jpg,data/labels/IMG20260204064158.txt
data/images/IMG20260204064203.jpg,data/labels/IMG20260204064203.txt
data/images/IMG20260204064216.jpg,data/labels/IMG20260204064216.txt
data/images/IMG20260204064224.jpg,data/labels/IMG20260204064224.txt
data/images/IMG20260204064304.jpg,data/labels/IMG20260204064304.txt
data/images/IMG20260204064311.jpg,data/labels/IMG20260204064311.txt
data/images/IMG20260204064347.jpg,data/labels/IMG20260204064347.txt
data/images/IMG20260204064352.jpg,data/labels/IMG20260204064352.txt
data/images/IMG20260204064355.jpg,data/labels/IMG20260204064355.txt
data/images/IMG20260204064438.jpg,data/labels/IMG20260204064438.txt
data/images/IMG20260204064450.jpg,data/labels/IMG20260204064450.txt
data/images/IMG20260204074024.jpg,data/labels/IMG20260204074024.txt
data/images/IMG20260204074028.jpg,data/labels/IMG20260204074028.txt
data/images/IMG20260204074031.jpg,data/labels/IMG20260204074031.txt
data/images/IMG20260204074037.jpg,data/labels/IMG20260204074037.txt
data/images/IMG20260204074044.jpg,data/labels/IMG20260204074044.txt
data/images/IMG20260204074100.jpg,data/labels/IMG20260204074100.txt
data/images/IMG20260204074107.jpg,data/labels/IMG20260204074107.txt
data/images/IMG20260204074108.jpg,data/labels/IMG20260204074108.txt
data/images/IMG20260204074109.jpg,data/labels/IMG20260204074109.txt
data/images/IMG20260204074124.jpg,data/labels/IMG20260204074124.txt
data/images/IMG20260204074127.jpg,data/labels/IMG20260204074127.txt
data/images/IMG20260204074130.jpg,data/labels/IMG20260204074130.txt
data/images/IMG20260204074136.jpg,data/labels/IMG20260204074136.txt
data/images/IMG20260204074209.jpg,data/labels/IMG20260204074209.txt
